Country Name,Country Code,Region,Year,LifeExpectancy
Marshall Islands,MHL,East Asia & Pacific,1987,61.808
"Korea, Rep.",KOR,East Asia & Pacific,1987,69.99756097560976
China,CHN,East Asia & Pacific,1987,67.263
Singapore,SGP,East Asia & Pacific,1987,74.54878048780488
Vanuatu,VUT,East Asia & Pacific,1987,64.439
Palau,PLW,East Asia & Pacific,1987,62.771
French Polynesia,PYF,East Asia & Pacific,1987,72.448
Marshall Islands,MHL,East Asia & Pacific,1988,61.778
"Korea, Rep.",KOR,East Asia & Pacific,1988,70.54878048780489
China,CHN,East Asia & Pacific,1988,67.607
Singapore,SGP,East Asia & Pacific,1988,74.69756097560976
Vanuatu,VUT,East Asia & Pacific,1988,65.699
Palau,PLW,East Asia & Pacific,1988,62.779
French Polynesia,PYF,East Asia & Pacific,1988,73.088
Marshall Islands,MHL,East Asia & Pacific,1989,61.733
"Korea, Rep.",KOR,East Asia & Pacific,1989,71.04878048780489
China,CHN,East Asia & Pacific,1989,67.93
Singapore,SGP,East Asia & Pacific,1989,74.94634146341464
Vanuatu,VUT,East Asia & Pacific,1989,66.023
Palau,PLW,East Asia & Pacific,1989,62.777
French Polynesia,PYF,East Asia & Pacific,1989,73.494
Marshall Islands,MHL,East Asia & Pacific,1990,61.756
"Korea, Rep.",KOR,East Asia & Pacific,1990,71.59756097560977
China,CHN,East Asia & Pacific,1990,68.155
Singapore,SGP,East Asia & Pacific,1990,75.29512195121951
Vanuatu,VUT,East Asia & Pacific,1990,66.684
Palau,PLW,East Asia & Pacific,1990,62.79
French Polynesia,PYF,East Asia & Pacific,1990,73.908
Marshall Islands,MHL,East Asia & Pacific,1991,61.792
"Korea, Rep.",KOR,East Asia & Pacific,1991,72.04634146341465
China,CHN,East Asia & Pacific,1991,68.61
Singapore,SGP,East Asia & Pacific,1991,75.64634146341463
Vanuatu,VUT,East Asia & Pacific,1991,67.114
Palau,PLW,East Asia & Pacific,1991,62.849
French Polynesia,PYF,East Asia & Pacific,1991,74.295
Marshall Islands,MHL,East Asia & Pacific,1992,61.9
"Korea, Rep.",KOR,East Asia & Pacific,1992,72.49756097560976
China,CHN,East Asia & Pacific,1992,69.059
Singapore,SGP,East Asia & Pacific,1992,75.94634146341464
Vanuatu,VUT,East Asia & Pacific,1992,67.433
Palau,PLW,East Asia & Pacific,1992,62.926
French Polynesia,PYF,East Asia & Pacific,1992,74.746
Marshall Islands,MHL,East Asia & Pacific,1993,62.085
"Korea, Rep.",KOR,East Asia & Pacific,1993,72.99756097560977
China,CHN,East Asia & Pacific,1993,69.492
Singapore,SGP,East Asia & Pacific,1993,76.04634146341465
Vanuatu,VUT,East Asia & Pacific,1993,67.724
Palau,PLW,East Asia & Pacific,1993,62.98
French Polynesia,PYF,East Asia & Pacific,1993,75.191
Marshall Islands,MHL,East Asia & Pacific,1994,62.308
"Korea, Rep.",KOR,East Asia & Pacific,1994,73.39756097560976
China,CHN,East Asia & Pacific,1994,69.835
Singapore,SGP,East Asia & Pacific,1994,76.19756097560976
Vanuatu,VUT,East Asia & Pacific,1994,67.984
Palau,PLW,East Asia & Pacific,1994,63.104
French Polynesia,PYF,East Asia & Pacific,1994,75.65
Marshall Islands,MHL,East Asia & Pacific,1995,62.515
"Korea, Rep.",KOR,East Asia & Pacific,1995,73.70000000000002
China,CHN,East Asia & Pacific,1995,70.363
Singapore,SGP,East Asia & Pacific,1995,76.2951219512195
Vanuatu,VUT,East Asia & Pacific,1995,68.104
Palau,PLW,East Asia & Pacific,1995,63.255
French Polynesia,PYF,East Asia & Pacific,1995,76.243
Marshall Islands,MHL,East Asia & Pacific,1996,62.765
"Korea, Rep.",KOR,East Asia & Pacific,1996,74.15121951219513
China,CHN,East Asia & Pacific,1996,70.823
Singapore,SGP,East Asia & Pacific,1996,76.59512195121953
Vanuatu,VUT,East Asia & Pacific,1996,68.176
Palau,PLW,East Asia & Pacific,1996,63.455
French Polynesia,PYF,East Asia & Pacific,1996,76.813
Marshall Islands,MHL,East Asia & Pacific,1997,63.015
"Korea, Rep.",KOR,East Asia & Pacific,1997,74.60243902439025
China,CHN,East Asia & Pacific,1997,71.227
Singapore,SGP,East Asia & Pacific,1997,76.89756097560975
Vanuatu,VUT,East Asia & Pacific,1997,68.309
Palau,PLW,East Asia & Pacific,1997,63.707
French Polynesia,PYF,East Asia & Pacific,1997,77.38
Marshall Islands,MHL,East Asia & Pacific,1998,63.218
"Korea, Rep.",KOR,East Asia & Pacific,1998,75.00487804878048
China,CHN,East Asia & Pacific,1998,71.601
Singapore,SGP,East Asia & Pacific,1998,77.30000000000001
Vanuatu,VUT,East Asia & Pacific,1998,68.372
Palau,PLW,East Asia & Pacific,1998,63.951
French Polynesia,PYF,East Asia & Pacific,1998,77.842
Marshall Islands,MHL,East Asia & Pacific,1999,63.421
"Korea, Rep.",KOR,East Asia & Pacific,1999,75.40975609756099
China,CHN,East Asia & Pacific,1999,71.952
Singapore,SGP,East Asia & Pacific,1999,77.55121951219512
Vanuatu,VUT,East Asia & Pacific,1999,67.924
Palau,PLW,East Asia & Pacific,1999,64.23
French Polynesia,PYF,East Asia & Pacific,1999,78.574
Marshall Islands,MHL,East Asia & Pacific,2000,63.323
"Korea, Rep.",KOR,East Asia & Pacific,2000,75.90975609756099
China,CHN,East Asia & Pacific,2000,72.288
Singapore,SGP,East Asia & Pacific,2000,77.95121951219514
Vanuatu,VUT,East Asia & Pacific,2000,68.586
Palau,PLW,East Asia & Pacific,2000,64.499
French Polynesia,PYF,East Asia & Pacific,2000,79.0
Marshall Islands,MHL,East Asia & Pacific,2001,63.735
"Korea, Rep.",KOR,East Asia & Pacific,2001,76.41219512195123
China,CHN,East Asia & Pacific,2001,72.675
Singapore,SGP,East Asia & Pacific,2001,78.25121951219512
Vanuatu,VUT,East Asia & Pacific,2001,68.722
Palau,PLW,East Asia & Pacific,2001,64.8
French Polynesia,PYF,East Asia & Pacific,2001,79.316
Marshall Islands,MHL,East Asia & Pacific,2002,63.848
"Korea, Rep.",KOR,East Asia & Pacific,2002,76.7658536585366
China,CHN,East Asia & Pacific,2002,73.034
Singapore,SGP,East Asia & Pacific,2002,78.55121951219512
Vanuatu,VUT,East Asia & Pacific,2002,68.836
Palau,PLW,East Asia & Pacific,2002,65.076
French Polynesia,PYF,East Asia & Pacific,2002,79.544
Marshall Islands,MHL,East Asia & Pacific,2003,63.956
"Korea, Rep.",KOR,East Asia & Pacific,2003,77.21463414634147
China,CHN,East Asia & Pacific,2003,73.385
Singapore,SGP,East Asia & Pacific,2003,79.0390243902439
Vanuatu,VUT,East Asia & Pacific,2003,68.933
Palau,PLW,East Asia & Pacific,2003,65.446
French Polynesia,PYF,East Asia & Pacific,2003,79.71
Marshall Islands,MHL,East Asia & Pacific,2004,64.044
"Korea, Rep.",KOR,East Asia & Pacific,2004,77.66585365853659
China,CHN,East Asia & Pacific,2004,73.727
Singapore,SGP,East Asia & Pacific,2004,79.49024390243902
Vanuatu,VUT,East Asia & Pacific,2004,68.985
Palau,PLW,East Asia & Pacific,2004,65.816
French Polynesia,PYF,East Asia & Pacific,2004,79.829
Marshall Islands,MHL,East Asia & Pacific,2005,64.112
"Korea, Rep.",KOR,East Asia & Pacific,2005,78.16829268292683
China,CHN,East Asia & Pacific,2005,74.085
Singapore,SGP,East Asia & Pacific,2005,79.99024390243903
Vanuatu,VUT,East Asia & Pacific,2005,69.166
Palau,PLW,East Asia & Pacific,2005,66.219
French Polynesia,PYF,East Asia & Pacific,2005,79.951
Marshall Islands,MHL,East Asia & Pacific,2006,64.207
"Korea, Rep.",KOR,East Asia & Pacific,2006,78.66829268292685
China,CHN,East Asia & Pacific,2006,74.404
Singapore,SGP,East Asia & Pacific,2006,80.14146341463415
Vanuatu,VUT,East Asia & Pacific,2006,69.126
Palau,PLW,East Asia & Pacific,2006,66.633
French Polynesia,PYF,East Asia & Pacific,2006,80.1
Marshall Islands,MHL,East Asia & Pacific,2007,64.259
"Korea, Rep.",KOR,East Asia & Pacific,2007,79.11951219512196
China,CHN,East Asia & Pacific,2007,74.789
Singapore,SGP,East Asia & Pacific,2007,80.44146341463416
Vanuatu,VUT,East Asia & Pacific,2007,69.144
Palau,PLW,East Asia & Pacific,2007,67.113
French Polynesia,PYF,East Asia & Pacific,2007,80.328
Marshall Islands,MHL,East Asia & Pacific,2008,64.3
"Korea, Rep.",KOR,East Asia & Pacific,2008,79.5170731707317
China,CHN,East Asia & Pacific,2008,74.833
Singapore,SGP,East Asia & Pacific,2008,80.79024390243903
Vanuatu,VUT,East Asia & Pacific,2008,69.302
Palau,PLW,East Asia & Pacific,2008,67.562
French Polynesia,PYF,East Asia & Pacific,2008,80.587
Marshall Islands,MHL,East Asia & Pacific,2009,64.395
"Korea, Rep.",KOR,East Asia & Pacific,2009,79.96829268292684
